# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	2494061	903	+					cfbB	26738275	MB9_RS00005	1353		old_locus_tag=MB9_0001
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	2494061	903	+	WP_048072876.1	WP_048072876.1		Ni-sirohydrochlorin a,c-diamide synthase	cfbB	26738275	MB9_RS00005	1353	450	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	1407	2573	+						26738276	MB9_RS00010	1167		old_locus_tag=MB9_0002
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	1407	2573	+	WP_048084343.1	WP_048084343.1		oligosaccharide repeat unit polymerase family protein		26738276	MB9_RS00010	1167	388	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	2785	3270	-						26738277	MB9_RS00015	486		old_locus_tag=MB9_0003
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	2785	3270	-	WP_145899972.1	WP_145899972.1		hypothetical protein		26738277	MB9_RS00015	486	161	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	3507	4337	+						26738278	MB9_RS00020	831		old_locus_tag=MB9_0004
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	3507	4337	+	WP_048084347.1	WP_048084347.1		F420-dependent methylenetetrahydromethanopterin dehydrogenase		26738278	MB9_RS00020	831	276	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	4596	5132	+						26738279	MB9_RS00025	537		old_locus_tag=MB9_0005
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	4596	5132	+	WP_048084349.1	WP_048084349.1		TetR/AcrR family transcriptional regulator		26738279	MB9_RS00025	537	178	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	5326	6660	+						26738280	MB9_RS00030	1335		old_locus_tag=MB9_0006
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	5326	6660	+	WP_048084350.1	WP_048084350.1		hypothetical protein		26738280	MB9_RS00030	1335	444	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	6788	7990	+						26738281	MB9_RS00035	1203		old_locus_tag=MB9_0007
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	6788	7990	+	WP_048084351.1	WP_048084351.1		HD domain-containing protein		26738281	MB9_RS00035	1203	400	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	8047	8517	-						26738282	MB9_RS00040	471		old_locus_tag=MB9_0008
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	8047	8517	-	WP_048084353.1	WP_048084353.1		NAD(P)H-dependent oxidoreductase		26738282	MB9_RS00040	471	156	
gene	protein_coding	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	8577	9230	-						26738283	MB9_RS00045	654		old_locus_tag=MB9_0009
CDS	with_protein	GCF_001458655.1	Primary Assembly	chromosome	I	NZ_LN734822.1	8577	9230	-	WP_048084355.1	WP_048084355.1		DUF1211 domain-containing protein		26738283	MB9_RS00045	654	217	
