# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	1	1371	+					cfbB	30410867	MCBB_RS00005	1371		old_locus_tag=MCBB_0001
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	1	1371	+	WP_071905683.1	WP_071905683.1		Ni-sirohydrochlorin a,c-diamide synthase	cfbB	30410867	MCBB_RS00005	1371	456	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	1624	2454	+						30410868	MCBB_RS00010	831		old_locus_tag=MCBB_0002
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	1624	2454	+	WP_071905684.1	WP_071905684.1		F420-dependent methylenetetrahydromethanopterin dehydrogenase		30410868	MCBB_RS00010	831	276	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	2665	3894	+						30410869	MCBB_RS00015	1230		old_locus_tag=MCBB_0003
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	2665	3894	+	WP_084789717.1	WP_084789717.1		HD domain-containing protein		30410869	MCBB_RS00015	1230	409	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	3982	4305	-						30410870	MCBB_RS00020	324		old_locus_tag=MCBB_0004
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	3982	4305	-	WP_145975972.1	WP_145975972.1		hypothetical protein		30410870	MCBB_RS00020	324	107	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	4645	5391	-						30410871	MCBB_RS00025	747		old_locus_tag=MCBB_0005
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	4645	5391	-	WP_145975973.1	WP_145975973.1		MBL fold metallo-hydrolase		30410871	MCBB_RS00025	747	248	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	5420	5899	-						30410872	MCBB_RS00030	480		old_locus_tag=MCBB_0006
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	5420	5899	-	WP_231916371.1	WP_231916371.1		NAD(P)H-dependent oxidoreductase		30410872	MCBB_RS00030	480	159	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	6027	6842	-						30410873	MCBB_RS00035	816		old_locus_tag=MCBB_0007
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	6027	6842	-	WP_071905687.1	WP_071905687.1		potassium channel family protein		30410873	MCBB_RS00035	816	271	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	6901	7476	-					hisB	30410874	MCBB_RS00040	576		old_locus_tag=MCBB_0008
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	6901	7476	-	WP_071905688.1	WP_071905688.1		imidazoleglycerol-phosphate dehydratase HisB	hisB	30410874	MCBB_RS00040	576	191	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	7442	7675	-						30410875	MCBB_RS00045	234		old_locus_tag=MCBB_0009
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	7442	7675	-	WP_071905689.1	WP_071905689.1		ferredoxin family protein		30410875	MCBB_RS00045	234	77	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	7849	8544	-						30410876	MCBB_RS00050	696		old_locus_tag=MCBB_0010
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	7849	8544	-	WP_071905690.1	WP_071905690.1		TOBE domain-containing protein		30410876	MCBB_RS00050	696	231	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	8860	9444	-						30410877	MCBB_RS00055	585		old_locus_tag=MCBB_0011
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	8860	9444	-	WP_071905691.1	WP_071905691.1		flavodoxin family protein		30410877	MCBB_RS00055	585	194	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	9597	10628	+						30410878	MCBB_RS00060	1032		old_locus_tag=MCBB_0013
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	9597	10628	+	WP_071905692.1	WP_071905692.1		right-handed parallel beta-helix repeat-containing protein		30410878	MCBB_RS00060	1032	343	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	10677	11525	+						30410879	MCBB_RS00065	849		old_locus_tag=MCBB_0014
