# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	111	896	+						10669956	MSWAN_RS00005	786		old_locus_tag=MSWAN_0001
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	111	896	+	WP_013824551.1	WP_013824551.1		ParA family protein		10669956	MSWAN_RS00005	786	261	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	893	1381	+						10667478	MSWAN_RS00010	489		old_locus_tag=MSWAN_0002
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	893	1381	+	WP_013824552.1	WP_013824552.1		hypothetical protein		10667478	MSWAN_RS00010	489	162	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	1609	2733	-						10667479	MSWAN_RS00015	1125		old_locus_tag=MSWAN_0003
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	1609	2733	-	WP_013824553.1	WP_013824553.1		putative DNA modification/repair radical SAM protein		10667479	MSWAN_RS00015	1125	374	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	2938	3489	+						10667480	MSWAN_RS00020	552		old_locus_tag=MSWAN_0004
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	2938	3489	+	WP_013824554.1	WP_013824554.1		LemA family protein		10667480	MSWAN_RS00020	552	183	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	3502	5358	+						10667481	MSWAN_RS00025	1857		old_locus_tag=MSWAN_0005
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	3502	5358	+	WP_013824555.1	WP_013824555.1		DUF2207 domain-containing protein		10667481	MSWAN_RS00025	1857	618	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	5539	6906	+					cfbB	10667482	MSWAN_RS00030	1368		old_locus_tag=MSWAN_0006
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	5539	6906	+	WP_013824556.1	WP_013824556.1		Ni-sirohydrochlorin a,c-diamide synthase	cfbB	10667482	MSWAN_RS00030	1368	455	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	7023	8093	+						10667483	MSWAN_RS00035	1071		old_locus_tag=MSWAN_0007
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	7023	8093	+	WP_013824557.1	WP_013824557.1		hypothetical protein		10667483	MSWAN_RS00035	1071	356	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	8337	9167	+						10667484	MSWAN_RS00040	831		old_locus_tag=MSWAN_0008
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	8337	9167	+	WP_013824558.1	WP_013824558.1		F420-dependent methylenetetrahydromethanopterin dehydrogenase		10667484	MSWAN_RS00040	831	276	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	9520	10815	+						10667485	MSWAN_RS00045	1296		old_locus_tag=MSWAN_0009
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	9520	10815	+	WP_013824559.1	WP_013824559.1		HD domain-containing protein		10667485	MSWAN_RS00045	1296	431	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	10885	11514	-						10667486	MSWAN_RS00050	630		old_locus_tag=MSWAN_0010
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	10885	11514	-	WP_227717019.1	WP_227717019.1		MBL fold metallo-hydrolase		10667486	MSWAN_RS00050	630	209	
